i: [1,27,0,10,1,1,0,0] t26_xtuple_0
a: [3,39,0,10,1,27]
s: 39
i: [1,32,0,3,1,0,0,1] reflexivity_r1_tarski
s: 32
i: [1,33,0,5,1,0,0,2] idempotence_k2_xboole_0
s: 33
i: [1,34,0,7,1,0,0,1] commutativity_k5_xboole_0
s: 34
i: [1,35,0,7,1,0,0,2] commutativity_k2_xboole_0
s: 35
i: [1,28,0,10,1,0,0,1] t23_xtuple_0
s: 28
i: [1,29,0,10,1,0,0,255] t25_xtuple_0
s: 29
i: [1,30,0,11,1,0,0,255] d6_xboole_0
s: 30
d: [2,47,1,7,1,0,44,30,33]
s: 47
i: [1,31,0,13,3,0,0,1] t13_xboole_1
s: 31
d: [2,50,1,7,1,0,44,33,30]
s: 50
d: [2,42,1,10,1,0,44,28,35]
s: 42
d: [2,43,1,10,1,0,44,28,35]
s: 43
d: [2,69,2,9,1,0,44,42,28]
s: 69
d: [2,45,1,10,1,0,44,35,28]
s: 45
d: [2,46,1,10,1,0,44,35,28]
s: 46
d: [2,73,2,9,1,0,44,28,42]
s: 73
d: [2,48,1,11,1,0,44,30,35]
s: 48
d: [2,81,3,13,1,0,44,69,30]
d: [2,98,3,9,1,0,22,81,30]
s: 98
d: [2,49,1,11,1,0,44,30,35]
s: 49
d: [2,51,1,11,1,0,44,35,30]
s: 51
d: [2,84,3,13,1,0,44,69,30]
d: [2,100,3,9,1,0,22,84,30]
s: 100
d: [2,52,1,11,1,0,44,35,30]
s: 52
d: [2,53,2,10,1,0,44,29,47]
d: [2,57,2,10,1,0,22,53,47]
s: 57
d: [2,59,1,11,3,0,44,31,33]
s: 59
d: [2,64,1,11,3,0,44,31,33]
s: 64
d: [2,56,2,10,1,0,44,29,47]
d: [2,58,2,10,1,0,22,56,47]
s: 58
d: [2,60,1,13,3,0,44,31,35]
s: 60
d: [2,80,3,12,1,0,44,69,28]
d: [2,97,3,11,1,0,22,80,28]
s: 97
d: [2,61,1,13,3,0,44,31,35]
s: 61
d: [2,65,1,13,3,0,44,31,35]
s: 65
d: [2,83,3,12,1,0,44,69,28]
d: [2,99,3,11,1,0,22,83,28]
s: 99
d: [2,66,1,13,3,0,44,31,35]
s: 66
d: [2,164,4,15,1,0,44,97,30]
d: [2,184,4,11,1,0,22,164,30]
s: 184
d: [2,62,1,16,3,0,44,31,28]
s: 62
d: [2,67,1,16,3,0,44,31,28]
s: 67
d: [2,168,4,15,1,0,44,97,30]
d: [2,186,4,11,1,0,22,168,30]
s: 186
d: [2,63,1,17,3,0,44,31,30]
s: 63
d: [2,162,4,14,1,0,44,97,28]
d: [2,183,4,13,1,0,22,162,28]
s: 183
d: [2,68,1,17,3,0,44,31,30]
s: 68
d: [2,134,2,14,3,0,44,59,42]
s: 134
d: [2,166,4,14,1,0,44,97,28]
d: [2,185,4,13,1,0,22,166,28]
s: 185
d: [2,135,2,14,3,0,44,59,28]
s: 135
d: [2,245,5,17,1,0,44,183,30]
d: [2,265,5,13,1,0,22,245,30]
s: 265
d: [2,142,2,14,3,0,44,64,42]
s: 142
d: [2,143,2,14,3,0,44,64,28]
s: 143
d: [2,249,5,17,1,0,44,183,30]
d: [2,267,5,13,1,0,22,249,30]
s: 267
d: [2,210,2,14,3,0,44,62,33]
s: 210
d: [2,217,2,14,3,0,44,67,33]
s: 217
d: [2,136,2,15,3,0,44,59,48]
s: 136
d: [2,137,2,15,3,0,44,59,30]
s: 137
d: [2,85,3,14,1,0,44,42,69]
s: 85
d: [2,144,2,15,3,0,44,64,48]
s: 144
d: [2,338,4,13,1,0,44,85,42]
s: 338
d: [2,145,2,15,3,0,44,64,30]
s: 145
d: [2,235,2,15,3,0,44,63,33]
s: 235
d: [2,339,4,13,1,0,44,85,28]
s: 339
d: [2,268,2,15,3,0,44,68,33]
s: 268
d: [2,340,4,13,1,0,44,85,33]
s: 340
d: [2,75,2,16,3,0,44,31,42]
s: 75
d: [2,76,2,16,3,0,44,31,42]
s: 76
d: [2,343,4,13,1,0,44,42,85]
s: 343
d: [2,150,2,16,3,0,44,60,42]
s: 150
d: [2,344,4,13,1,0,44,28,85]
s: 344
d: [2,151,2,16,3,0,44,60,28]
s: 151
d: [2,157,2,16,3,0,44,60,42]
s: 157
d: [2,345,4,13,1,0,44,33,85]
s: 345
d: [2,158,2,16,3,0,44,60,28]
s: 158
d: [2,335,4,18,1,0,44,85,30]
d: [2,376,4,17,1,0,22,335,28]
d: [2,377,4,13,1,0,22,376,30]
s: 377
d: [2,202,2,16,3,0,44,62,35]
s: 202
d: [2,203,2,16,3,0,44,62,35]
s: 203
d: [2,395,5,13,1,0,44,338,33]
s: 395
