i: [1,32,0,10,1,1,0,0] t46_xtuple_0
a: [3,46,0,10,1,32]
s: 46
i: [1,39,0,3,1,0,0,1] reflexivity_r1_tarski
s: 39
i: [1,40,0,5,1,0,0,2] idempotence_k2_xboole_0
s: 40
i: [1,33,0,6,1,0,0,255] d14_xtuple_0
s: 33
i: [1,34,0,6,1,0,0,255] d17_xtuple_0
s: 34
i: [1,41,0,7,1,0,0,1] commutativity_k5_xboole_0
s: 41
i: [1,42,0,7,1,0,0,2] commutativity_k2_xboole_0
s: 42
i: [1,35,0,10,1,0,0,1] t43_xtuple_0
s: 35
d: [2,48,1,7,1,0,44,33,33]
s: 48
i: [1,36,0,10,1,0,0,255] t45_xtuple_0
s: 36
i: [1,37,0,11,1,0,0,255] d6_xboole_0
s: 37
d: [2,56,1,7,1,0,44,37,40]
s: 56
i: [1,38,0,13,3,0,0,1] t13_xboole_1
s: 38
d: [2,59,1,7,1,0,44,40,37]
s: 59
d: [2,50,1,10,1,0,44,35,42]
s: 50
d: [2,51,1,10,1,0,44,35,42]
s: 51
d: [2,55,2,8,1,0,44,33,48]
s: 55
d: [2,53,1,10,1,0,44,42,35]
s: 53
d: [2,78,2,9,1,0,44,50,35]
s: 78
d: [2,54,1,10,1,0,44,42,35]
s: 54
d: [2,57,1,11,1,0,44,37,42]
s: 57
d: [2,82,2,9,1,0,44,35,50]
s: 82
d: [2,58,1,11,1,0,44,37,42]
s: 58
d: [2,88,3,9,1,0,44,55,33]
s: 88
d: [2,60,1,11,1,0,44,42,37]
s: 60
d: [2,61,1,11,1,0,44,42,37]
s: 61
d: [2,93,3,9,1,0,44,33,55]
s: 93
d: [2,68,1,11,3,0,44,38,40]
s: 68
d: [2,96,3,13,1,0,44,78,37]
d: [2,113,3,9,1,0,22,96,37]
s: 113
d: [2,73,1,11,3,0,44,38,40]
s: 73
d: [2,69,1,13,3,0,44,38,42]
s: 69
d: [2,99,3,13,1,0,44,78,37]
d: [2,115,3,9,1,0,22,99,37]
s: 115
d: [2,70,1,13,3,0,44,38,42]
s: 70
d: [2,62,2,10,1,0,44,36,56]
d: [2,66,2,10,1,0,22,62,56]
s: 66
d: [2,74,1,13,3,0,44,38,42]
s: 74
d: [2,75,1,13,3,0,44,38,42]
s: 75
d: [2,65,2,10,1,0,44,36,56]
d: [2,67,2,10,1,0,22,65,56]
s: 67
d: [2,71,1,16,3,0,44,38,35]
s: 71
d: [2,89,3,10,1,0,44,55,48]
s: 89
d: [2,76,1,16,3,0,44,38,35]
s: 76
d: [2,72,1,17,3,0,44,38,37]
s: 72
d: [2,133,4,10,1,0,44,33,88]
s: 133
d: [2,77,1,17,3,0,44,38,37]
s: 77
d: [2,90,3,11,1,0,44,55,55]
s: 90
d: [2,137,2,14,3,0,44,68,50]
s: 137
d: [2,138,2,14,3,0,44,68,35]
s: 138
d: [2,95,3,12,1,0,44,78,35]
d: [2,112,3,11,1,0,22,95,35]
s: 112
d: [2,157,2,14,3,0,44,73,50]
s: 157
d: [2,98,3,12,1,0,44,78,35]
d: [2,114,3,11,1,0,22,98,35]
s: 114
d: [2,158,2,14,3,0,44,73,35]
s: 158
d: [2,189,2,14,3,0,44,71,40]
s: 189
d: [2,196,4,11,1,0,44,89,33]
s: 196
d: [2,209,2,14,3,0,44,76,40]
s: 209
d: [2,206,4,11,1,0,44,33,89]
s: 206
d: [2,139,2,15,3,0,44,68,57]
s: 139
d: [2,140,2,15,3,0,44,68,37]
s: 140
d: [2,265,4,15,1,0,44,112,37]
d: [2,285,4,11,1,0,22,265,37]
s: 285
d: [2,159,2,15,3,0,44,73,57]
s: 159
d: [2,269,4,15,1,0,44,112,37]
d: [2,287,4,11,1,0,22,269,37]
s: 287
d: [2,160,2,15,3,0,44,73,37]
s: 160
d: [2,227,2,15,3,0,44,72,40]
s: 227
d: [2,132,4,12,1,0,44,55,88]
s: 132
d: [2,234,2,15,3,0,44,77,40]
s: 234
d: [2,197,4,12,1,0,44,89,48]
s: 197
d: [2,84,2,16,3,0,44,38,50]
s: 84
d: [2,85,2,16,3,0,44,38,50]
s: 85
d: [2,249,4,12,1,0,44,33,90]
s: 249
d: [2,165,2,16,3,0,44,69,50]
s: 165
d: [2,198,4,13,1,0,44,89,55]
s: 198
d: [2,166,2,16,3,0,44,69,35]
s: 166
d: [2,172,2,16,3,0,44,69,50]
s: 172
d: [2,205,4,13,1,0,44,55,89]
s: 205
d: [2,173,2,16,3,0,44,69,35]
s: 173
